,Questions,Answers
780,what are the risks of health workers failing to wash hands,autoinfection but also in infection of patients hospitalised for other causes when they provide care
781,who is at risk when health workers fail to wash their hands, the health worker but also for their families and the communities in which they live
782,what was the r0 of sars in absence of control measures,3
783,what is superspreading,where a case infected significantly more contacts than the average
784,how many people may have left wuhan before travel restrictions were imposed,5 m people
785,how many severe cases of influenzarelated illnesses are reported per year,between 35 million
786,how many influenzarelated deaths are reported each year,over 250 000
787,what is the mortality rate of the h5n1 strain of influenza,53%
788,what cells are the main target of the influenza a virus in the lungs,primary human alveolar epithelial type ii cells
789,how many extracellular domains are in the ceamcam1 protein,four
790,where is ceacam1 expressed in the body,epithelial and endothelial cells 11  as well as b cells t cells neutrophils nk cells macrophages and dendritic cells 
791,what motifs are absent in the short form of ceacam1 protein,immunoreceptor tyrosinebased inhibitory motifs 
792,what are the most common isoforms of ceacam1,ceacam14l and ceacam13l
793,how do ceacam1 and ceacam5 interact,heterophilically
794,what are the srcfamily of kinases ,signaling molecules
795,what triggers the release of proinflammatory cytokineschemokines to assist in viral clearance,pattern recognition receptors 
796,what mediates the antiapoptosis of neutrophils,phosphorylation of ceacam1 itim motifs and activation of caspase3
797,how do natural killer cells fight influenza viruses,by recognizing and killing infected cells
798,how do influenza viruses escape binding by the natural killer cell activating receptors,modification of influenza hemagglutinin glycosylation
799,what is enfuvirtide,hiv fusion inhibitor
800,what is labeled in red,residues corresponding to the nhr pocket region
801,what is marked in blue,residues for the pbd
802,what is marked in green,mthook residues adjacent to the n terminus of pbd
803,what is labeled in pink,mutant residues in pbd of ap2 and ap3
804,how many times was the experiment repeated,twice
805,what was the main finding in the study,ap3 exhibited improved antiviral activity drug resistance profile and pharmacological properties over t20
806,what do the results suggest,ap3 has potential for development as a new antihiv drug
